precursor_formulas,target_formula,Reaction,Year,Heating Operations,Heating Temperatures,Heating Times,Sintering Temperature,Sintering Time,Calcination Temperature,Calcination Time,DOI,Elements Match,Available Values Count,precursor_formulas_set
"['CaCo3', 'Co3O4']",Ca3Co4O9,3 CaCo3 + -1.667 Co3O4 + 7.833 O2 == 1 Ca3Co4O9,2012,['calcined'],[[880.0]],[[]],,,880.0,,10.1103/physrevb.85.054106,True,1,"['CaCo3', 'Co3O4']"
"['CrO3', 'CaCO3', 'Co3O4']",Ca3Cr0.1Co3.9O9,3 CaCO3 + 1.3 Co3O4 + 0.1 CrO3 + 0.25 O2 == 1 Ca3Co3.90Cr0.10O9 + 3 CO2,2014,"['prefired', 'sintered']","[[899.85], [899.85]]","[[24.0], [48.0]]",899.85,48.0,,,10.1111/jace.13144,True,2,"['CaCO3', 'Co3O4', 'CrO3']"
"['CrO3', 'CaCO3', 'SiO2']",Ca3Cr2(SiO4)3,3 CaCO3 + 2 CrO3 + 3 SiO2 == 1 Ca3Cr2(SiO4)3 + 3 CO2 + 1.5 O2,2008,"['calcined', 'fired']","[[], [1140.0]]","[[3.0], []]",,,,3.0,10.1016/j.jhazmat.2007.12.075,True,1,"['CaCO3', 'CrO3', 'SiO2']"
"['Rh', 'CaCO3', 'Fe2O3']",Ca3FeRhO6,3 CaCO3 + 0.5 Fe2O3 + 0.75 O2 + 1 Rh == 1 Ca3FeRhO6 + 3 CO2,2003,"['heated', 'held']","[[1050.0], []]","[[], [24.0]]",,,899.85,,10.1016/s0022-4596(03)00102-6,True,1,"['CaCO3', 'Fe2O3', 'Rh']"
"['Ga2O3', 'GeO2', 'CaCO3']",Ca3Ga2(GeO4)3,"3 CaCO3 + 1 Ga2O3 + 3 GeO2 == 1 Ca3Ga2Ge3O12 + 3 CO2 ; target Ca3Ga2Ge3O12 with additives Cr, Yb, Tm via Cr2O3, Tm2O3, Yb2O3",2014,"['prefired', 'calcined']","[[900.0], [1180.0]]","[[2.0], [6.0]]",,,1180.0,6.0,10.1021/ic501238u,True,2,"['CaCO3', 'Ga2O3', 'GeO2']"
"['CaCl2', 'GeO2', 'CaCO3']",Ca3Ge(ClO2)2,2 CaCO3 + 1 CaCl2 + 1 GeO2 == 1 Ca3GeO4Cl2 + 2 CO2,2014,['sintered'],[[800.0]],[[]],800.0,,,,10.1039/c4dt01306a,True,1,"['CaCO3', 'CaCl2', 'GeO2']"
"['La2O3', 'Ca2P2O7']",Ca3La(PO4)3,1.5 Ca2P2O7 + 0.5 La2O3 == 1 Ca3La(PO4)3,2002,[],[],[],1400.0,,,,10.1016/s1293-2558(01)01227-4,True,1,"['Ca2P2O7', 'La2O3']"
"['SiO2', 'CaCO3', 'MgO']",Ca3Mg(SiO4)2,3 CaCO3 + 1 MgO + 2 SiO2 == 1 Ca3MgSi2O8 + 3 CO2 ; target Ca3MgSi2O8 with additives Dy3+ via Dy2O3,2009,['sintering'],"[[1350.0, 1250.0]]",[[5.0]],1375.0,4.0,1250.0,4.5,10.1016/j.jlumin.2008.12.008,True,4,"['CaCO3', 'MgO', 'SiO2']"
"['MnO2', 'CaCO3', 'CoO']",Ca3Mn0.75Co1.25O6,3 CaCO3 + 1.25 CoO + 0.75 MnO2 + 0.125 O2 == 1 Ca3Co1.25Mn0.75O6 + 3 CO2,2012,"['heated', 'anneal']","[[1200.0, 1130.0, 950.0], [1000.0]]","[[24.0, 30.0], [4.0]]",,,1000.0,4.0,10.1039/c1ce05788j,True,2,"['CaCO3', 'CoO', 'MnO2']"
"['MnO2', 'CaCO3', 'CuO']",Ca3Mn1.05Cu0.95O6,3 CaCO3 + 0.95 CuO + 1.05 MnO2 == 1 Ca3Cu0.95Mn1.05O6 + 3 CO2 + 0.025 O2,2012,"['heated', 'anneal']","[[1200.0, 1130.0, 950.0], [1000.0]]","[[24.0, 30.0], [4.0]]",,,1000.0,4.0,10.1039/c1ce05788j,True,2,"['CaCO3', 'CuO', 'MnO2']"
"['MnO2', 'CaCO3', 'CoO']",Ca3MnCoO6,3 CaCO3 + 1 CoO + 1 MnO2 == 1 Ca3CoMnO6 + 3 CO2,2012,"['heated', 'anneal']","[[1200.0, 1130.0, 950.0], [1000.0]]","[[24.0, 30.0], [4.0]]",,,1000.0,4.0,10.1039/c1ce05788j,True,2,"['CaCO3', 'CoO', 'MnO2']"
"['MnO2', 'CaCO3', 'NiO']",Ca3MnNiO6,3 CaCO3 + 1 MnO2 + 1 NiO == 1 Ca3NiMnO6 + 3 CO2,2004,"['calcined', 'sintered']","[[950.0], [1250.0]]","[[24.0], [36.0]]",1250.0,36.0,950.0,24.0,10.1016/j.jssc.2004.05.050,True,4,"['CaCO3', 'MnO2', 'NiO']"
"['CaO', 'Nb2O5']",Ca3Nb2O8,3 CaO + 1 Nb2O5 == 1 Ca3Nb2O8,2003,"['sintered', 'heated', 'held']","[[1375.0], [1500.0], []]","[[], [], [2.0]]",1375.0,,,,10.1016/s0022-4596(03)00011-2,True,1,"['CaO', 'Nb2O5']"
"['Ga2O3', 'Nb2O5', 'CaCO3', 'SiO2']",Ca3NbGa3(SiO7)2,3 CaCO3 + 1.5 Ga2O3 + 0.5 Nb2O5 + 2 SiO2 == 1 Ca3NbGa3Si2O14 + 3 CO2,2006,"['heated', 'maintained']","[[1200.0], []]","[[], []]",1200.0,12.0,,,10.1016/j.jcrysgro.2006.05.067,True,2,"['CaCO3', 'Ga2O3', 'Nb2O5', 'SiO2']"
"['CaCl2', 'CaCO3', 'SiO2']",Ca3Si(ClO2)2,2 CaCO3 + 1 CaCl2 + 1 SiO2 == 1 Ca3SiO4Cl2 + 2 CO2 ; target Ca3SiO4Cl2 with additives Eu2+ via Eu2O3,2011,[],[],[],1050.0,,,,10.1016/j.apsusc.2010.12.055,True,1,"['CaCO3', 'CaCl2', 'SiO2']"
"['CaCO3', 'SiO2']",Ca3Si2O7,3 CaCO3 + 2 SiO2 == 1 Ca3Si2O7 + 3 CO2,2008,"['heated', 'reheated']","[[1000.0], [1300.0]]","[[3.0], [6.0]]",1249.925,4.0,1300.0,6.0,10.1016/j.jpcs.2007.10.093,True,4,"['CaCO3', 'SiO2']"
"['SnO2', 'CaCO3', 'SiO2']",Ca3Si2SnO9,3 CaCO3 + 2 SiO2 + 1 SnO2 == 1 Ca3SnSi2O9 + 3 CO2,2014,"['placed', 'preheated', 'sintered']","[[], [900.0], [1400.0]]","[[], [2.0], [4.0]]",1400.0,4.0,,,10.1016/j.jlumin.2013.07.009,True,2,"['CaCO3', 'SiO2', 'SnO2']"
"['Ca(HO)2', 'SiO2']",Ca3SiO4,3 Ca(OH)2 + 1 SiO2 == 1 Ca3SiO4 + 3 H2O + 0.5 O2,2007,['calcining'],[[]],[[]],1450.0,2.0,,,10.1016/j.jhazmat.2006.06.009,True,2,"['Ca(HO)2', 'SiO2']"
"['CaCO3', 'SiO2']",Ca3SiO4,3 CaCO3 + 1 SiO2 == 1 Ca3SiO4 + 3 CO2 + 0.5 O2,2007,['sintered'],[[1500.0]],[[2.0]],1450.0,3.0,,,10.1016/j.jhazmat.2007.01.136,True,2,"['CaCO3', 'SiO2']"
"['CaO', 'SiO2']",Ca3SiO4,3 CaO + 1 SiO2 == 1 Ca3SiO4 + 0.5 O2,2012,"['melted', 'heating', 'sintered', 'melted']","[[1690.0], [1320.0], [1400.0], [1600.0]]","[[], [10.0], [8.0, 16.0], []]",1400.0,8.0,,,10.1016/j.jnoncrysol.2012.07.032,True,2,"['CaO', 'SiO2']"
"['CaCO3', 'SiO2']",Ca3SiO5,3 CaCO3 + 1 SiO2 == 1 Ca3(SiO4)O + 3 CO2,2006,['heated'],[[999.85]],[[6.0]],1500.0,6.0,782.4625,3.0,10.1039/b516324b,True,4,"['CaCO3', 'SiO2']"
"['CaO', 'SiO2']",Ca3SiO5,3 CaO + 1 SiO2 == 1 Ca3SiO5,2006,[],[],[],1400.0,6.5,1000.0,16.0,10.1016/j.cemconres.2005.11.006,True,4,"['CaO', 'SiO2']"
"['Nb2O5', 'CaCO3', 'Ta2O5', 'Sm2O3', 'TiO2']",Ca3Sm4Ta0.5Ti7Nb1.5O28,3 CaCO3 + 0.75 Nb2O5 + 2 Sm2O3 + 0.25 Ta2O5 + 7 TiO2 == 1 Ca3Sm4Ti7Nb1.5Ta0.5O28 + 3 CO2,2011,"['calcined', 'heated', 'kept', 'increased', 'sintered']","[[1300.0], [600.0], [], [1400.0], []]","[[6.0], [], [1.0], [], [6.0]]",,6.0,1300.0,6.0,10.1007/s10854-011-0338-5,True,3,"['CaCO3', 'Nb2O5', 'Sm2O3', 'Ta2O5', 'TiO2']"
"['Nb2O5', 'CaCO3', 'Ta2O5', 'Sm2O3', 'TiO2']",Ca3Sm4Ta1.5Ti7Nb0.5O28,3 CaCO3 + 0.25 Nb2O5 + 2 Sm2O3 + 0.75 Ta2O5 + 7 TiO2 == 1 Ca3Sm4Ti7Nb0.5Ta1.5O28 + 3 CO2,2011,"['calcined', 'heated', 'kept', 'increased', 'sintered']","[[1300.0], [600.0], [], [1400.0], []]","[[6.0], [], [1.0], [], [6.0]]",,6.0,1300.0,6.0,10.1007/s10854-011-0338-5,True,3,"['CaCO3', 'Nb2O5', 'Sm2O3', 'Ta2O5', 'TiO2']"
"['Sm2O3', 'TiO2', 'CaCO3', 'Ta2O5']",Ca3Sm4Ta2Ti7O28,3 CaCO3 + 2 Sm2O3 + 1 Ta2O5 + 7 TiO2 == 1 Ca3Sm4Ti7Ta2O28 + 3 CO2,2011,"['calcined', 'heated', 'kept', 'increased', 'sintered']","[[1300.0], [600.0], [], [1400.0], []]","[[6.0], [], [1.0], [], [6.0]]",,6.0,1300.0,6.0,10.1007/s10854-011-0338-5,True,3,"['CaCO3', 'Sm2O3', 'Ta2O5', 'TiO2']"
"['Nb2O5', 'CaCO3', 'Ta2O5', 'Sm2O3', 'TiO2']",Ca3Sm4TaTi7NbO28,3 CaCO3 + 0.5 Nb2O5 + 2 Sm2O3 + 0.5 Ta2O5 + 7 TiO2 == 1 Ca3Sm4Ti7NbTaO28 + 3 CO2,2011,"['calcined', 'heated', 'kept', 'increased', 'sintered']","[[1300.0], [600.0], [], [1400.0], []]","[[6.0], [], [1.0], [], [6.0]]",,6.0,1300.0,6.0,10.1007/s10854-011-0338-5,True,3,"['CaCO3', 'Nb2O5', 'Sm2O3', 'Ta2O5', 'TiO2']"
"['Sm2O3', 'Nb2O5', 'CaCO3', 'TiO2']",Ca3Sm4Ti7Nb2O28,3 CaCO3 + 1 Nb2O5 + 2 Sm2O3 + 7 TiO2 == 1 Ca3Sm4Ti7Nb2O28 + 3 CO2,2011,"['calcined', 'heated', 'kept', 'increased', 'sintered']","[[1300.0], [600.0], [], [1400.0], []]","[[6.0], [], [1.0], [], [6.0]]",,6.0,1300.0,6.0,10.1007/s10854-011-0338-5,True,3,"['CaCO3', 'Nb2O5', 'Sm2O3', 'TiO2']"
"['Ga2O3', 'CaCO3', 'SiO2', 'Ta2O5']",Ca3TaGa3(SiO7)2,3 CaCO3 + 1.5 Ga2O3 + 2 SiO2 + 0.5 Ta2O5 == 1 Ca3TaGa3Si2O14 + 3 CO2,2014,[],[],[],1200.0,12.0,1000.0,10.0,10.1007/s00339-013-7790-4,True,4,"['CaCO3', 'Ga2O3', 'SiO2', 'Ta2O5']"
"['TiO2', 'CaCO3']",Ca3Ti2O7,3 CaCO3 + 2 TiO2 == 1 Ca3Ti2O7 + 3 CO2,2008,"['pre-heated', 'heated', 'reduced']","[[1000.0], [1600.0], [200.0]]","[[10.0], [6.0], [1.0]]",1375.0,4.0,1175.0,6.0,10.1016/j.matlet.2008.02.052,True,4,"['CaCO3', 'TiO2']"
"['VH4NO3', 'CaCO3']",Ca3V2O8,3 CaCO3 + 2 NH4VO3 == 1 Ca3(VO4)2 + 3 CO2 + 1 H2O + 2 NH3,2006,['sintered'],[[900.0]],[[10.0]],900.0,10.0,,,10.1016/j.jcrysgro.2006.05.037,True,2,"['CaCO3', 'VH4NO3']"
"['WO3', 'CaCO3']",Ca3WO6,3 CaCO3 + 1 WO3 == 1 Ca3WO6 + 3 CO2,2011,"['calcined', 'sintered']","[[1000.0], [1200.0]]","[[4.0], [2.0]]",1200.0,2.0,1125.0,5.0,10.1007/s10854-010-0215-7,True,4,"['CaCO3', 'WO3']"
"['ZrO2', 'CaCO3', 'SiO2']",Ca3ZrSi2O9,3 CaCO3 + 2 SiO2 + 1 ZrO2 == 1 Ca3ZrSi2O9 + 3 CO2,2010,['calcined'],[[1400.0]],[[6.0]],,,1400.0,6.0,10.1016/j.apsusc.2010.02.071,True,2,"['CaCO3', 'SiO2', 'ZrO2']"
"['CaO', 'ZrO2', 'SiO2']",Ca3ZrSi2O9,3 CaO + 2 SiO2 + 1 ZrO2 == 1 Ca3ZrSi2O9,2014,"['heating', 'sintered', 'heated', 'sintered']","[[], [1450.0, 1400.0, 1350.0], [0.0], [1450.0, 1400.0, 1350.0]]","[[6.0], [], [], []]",1475.0,5.0,1200.0,5.0,10.1016/j.jmbbm.2014.02.021,True,4,"['CaO', 'SiO2', 'ZrO2']"
"['Ga2O3', 'CaCO3', 'Bi2O3']",Ca4.375Ga1Bi10.75O22,5.375 Bi2O3 + 4.375 CaCO3 + 0.5 Ga2O3 == 1 Bi10.75Ca4.375GaO22 + 4.375 CO2,2010,['calcined'],[[799.85]],[[36.0]],,,799.85,36.0,10.1016/j.ssi.2010.09.028,True,2,"['Bi2O3', 'CaCO3', 'Ga2O3']"
"['CaCO3', 'Bi2O3']",Ca4Bi6O13,3 Bi2O3 + 4 CaCO3 == 1 Ca4Bi6O13 + 4 CO2,1998,['treated'],[[850.0]],[[36.0]],,,599.85,,10.1016/s0025-5408(98)00065-8,True,1,"['Bi2O3', 'CaCO3']"
"['TiO2', 'La2O3', 'CaCO3']",Ca4La2Ti5O17,4 CaCO3 + 1 La2O3 + 5 TiO2 == 1 Ca4La2Ti5O17 + 4 CO2,2008,"['calcined', 'fired', 'sintering']","[[], [600.0], []]","[[4.0], [], []]",1500.0,4.0,1475.0,4.0,10.1007/s10854-007-9503-2,True,4,"['CaCO3', 'La2O3', 'TiO2']"
"['MnO2', 'CaCO3']",Ca4Mn3O10,4 CaCO3 + 3 MnO2 == 1 Ca4Mn3O10 + 4 CO2,1998,"['firings', 'treated']","[[1330.0, 1310.0], [500.0, 1310.0, 1350.0, 1300.0]]","[[27.0, 27.0], []]",1250.0,24.0,1000.0,12.0,10.1021/cm970647r,True,4,"['CaCO3', 'MnO2']"
"['Sm2O3', 'TiO2', 'CaCO3', 'Ta2O5']",Ca4Sm3Ta3Ti6O28,4 CaCO3 + 1.5 Sm2O3 + 1.5 Ta2O5 + 6 TiO2 == 1 Ca4Sm3Ti6Ta3O28 + 4 CO2,2011,"['calcined', 'heated', 'kept', 'increased', 'sintered']","[[1300.0], [600.0], [], [1400.0], []]","[[6.0], [], [1.0], [], [6.0]]",,6.0,1300.0,6.0,10.1007/s10854-011-0338-5,True,3,"['CaCO3', 'Sm2O3', 'Ta2O5', 'TiO2']"
"['Sm2O3', 'Nb2O5', 'CaCO3', 'TiO2']",Ca4Sm3Ti6Nb3O28,4 CaCO3 + 1.5 Nb2O5 + 1.5 Sm2O3 + 6 TiO2 == 1 Ca4Sm3Ti6Nb3O28 + 4 CO2,2011,"['calcined', 'heated', 'kept', 'increased', 'sintered']","[[1300.0], [600.0], [], [1400.0], []]","[[6.0], [], [1.0], [], [6.0]]",,6.0,1300.0,6.0,10.1007/s10854-011-0338-5,True,3,"['CaCO3', 'Nb2O5', 'Sm2O3', 'TiO2']"
"['Y2O3', 'CaCO3', 'B2O3']",Ca4YB3O10,1.5 B2O3 + 4 CaCO3 + 0.5 Y2O3 == 1 YCa4O(BO3)3 + 4 CO2 ; target YCa4O(BO3)3 with additives Yb via Yb2O3,2000,"['raised', 'maintained']","[[1200.0], []]","[[], [10.0]]",1000.0,14.5,,,10.1016/s0025-5408(00)00259-2,True,2,"['B2O3', 'CaCO3', 'Y2O3']"
"['Yb2O3', 'Y2O3', 'CaCO3', 'B2O3']",Ca4Yb0.2Y0.8B3O10,1.5 B2O3 + 4 CaCO3 + 0.4 Y2O3 + 0.1 Yb2O3 == 1 Yb0.20Ca4Y0.80O(BO3)3 + 4 CO2,2000,['heated'],[[950.0]],[[6.0]],1100.0,20.0,,,10.1016/s0025-5408(00)00259-2,True,2,"['B2O3', 'CaCO3', 'Y2O3', 'Yb2O3']"
"['CaCO3', 'Bi2O3']",Ca5(Bi7O13)2,7 Bi2O3 + 5 CaCO3 == 1 Bi14Ca5O26 + 5 CO2,2002,['calcined'],[[599.85]],[[]],,,599.85,,10.1016/s0040-6031(01)00659-1,True,1,"['Bi2O3', 'CaCO3']"
"['Cr2O3', 'CaCO3']",Ca50CrO4,50 CaCO3 + 0.5 Cr2O3 == 1 Ca50CrO4 + 50 CO2 + 23.75 O2,2000,['calcination'],"[[1099.85, 699.85]]",[[]],,,1099.85,,10.1016/s0167-2738(00)00401-x,True,1,"['CaCO3', 'Cr2O3']"
"['Ca3(PO4)2', 'Ca(HO)2']",Ca5P3HO13,0.5 Ca(OH)2 + 1.5 Ca3(PO4)2 == 1 Ca5(PO4)3(OH),2002,"['sintering', 'decomposed']","[[1400.0], []]","[[2.0], []]",1400.0,2.0,,,10.1016/s0928-4931(02)00031-0,True,2,"['Ca(HO)2', 'Ca3(PO4)2']"
"['CaCO3', 'CaPHO4']",Ca5P3HO13,2 CaCO3 + 3 CaHPO4·H2O == 1 Ca5(PO4)3(OH) + 2 CO2 + 4 H2O,2006,['calcination'],[[750.0]],[[1.0]],500.0,3.0,975.0,1.5,10.1016/j.biomaterials.2006.05.031,True,4,"['CaCO3', 'CaPHO4']"
"['CaO', 'CaP2(H2O3)3']",Ca5P3HO13,1.5 Ca(H2PO4)2(H2O) + 3.5 CaO == 1 Ca5(PO4)3(OH) + 4 H2O,2013,['sintered'],[[1100.0]],[[1.0]],1100.0,1.0,,,10.1016/j.surfcoat.2012.12.023,True,2,"['CaO', 'CaP2(H2O3)3']"
"['CaO', 'PH3O4']",Ca5P3HO13,5 CaO + 3 H3PO4 == 1 Ca5(PO4)3(OH) + 4 H2O,2005,['calcined'],[[800.0]],[[]],1225.0,2.0,850.0,2.0,10.1016/j.molstruc.2004.11.070,True,4,"['CaO', 'PH3O4']"
"['Sm2O3', 'TiO2', 'CaCO3', 'Ta2O5']",Ca5Sm2Ta4Ti5O28,5 CaCO3 + 1 Sm2O3 + 2 Ta2O5 + 5 TiO2 == 1 Ca5Sm2Ti5Ta4O28 + 5 CO2,2011,"['calcined', 'heated', 'kept', 'increased', 'sintered']","[[1300.0], [600.0], [], [1400.0], []]","[[6.0], [], [1.0], [], [6.0]]",,6.0,1300.0,6.0,10.1007/s10854-011-0338-5,True,3,"['CaCO3', 'Sm2O3', 'Ta2O5', 'TiO2']"
"['Sm2O3', 'Nb2O5', 'CaCO3', 'TiO2']",Ca5Sm2Ti5Nb4O28,5 CaCO3 + 2 Nb2O5 + 1 Sm2O3 + 5 TiO2 == 1 Ca5Sm2Ti5Nb4O28 + 5 CO2,2011,"['calcined', 'heated', 'kept', 'increased', 'sintered']","[[1300.0], [600.0], [], [1400.0], []]","[[6.0], [], [1.0], [], [6.0]]",,6.0,1300.0,6.0,10.1007/s10854-011-0338-5,True,3,"['CaCO3', 'Nb2O5', 'Sm2O3', 'TiO2']"
"['TiO2', 'CaCO3', 'Ta2O5']",Ca5Ta2TiO12,5 CaCO3 + 1 Ta2O5 + 1 TiO2 == 1 Ca5Ta2TiO12 + 5 CO2,2005,"['calcined', 'preheated', 'fired', 'sintered']","[[], [800.0], [], []]","[[4.0], [1.0], [], []]",,,,4.0,10.1111/j.1551-2916.2005.00630.x,True,1,"['CaCO3', 'Ta2O5', 'TiO2']"
"['TiO2', 'Nb2O5', 'CaCO3']",Ca5TiNb2O12,5 CaCO3 + 1 Nb2O5 + 1 TiO2 == 1 Ca5Nb2TiO12 + 5 CO2,2005,"['calcined', 'sintered', 'sintered', 'held', 'heated']","[[], [], [], [], [80.0]]","[[4.0], [4.0], [], [], []]",,4.0,,4.0,10.1016/j.mseb.2005.06.011,True,2,"['CaCO3', 'Nb2O5', 'TiO2']"
"['Co2O3', 'CaCO3', 'V2O5']",Ca5V6(CoO6)4,5 CaCO3 + 2 Co2O3 + 3 V2O5 == 1 Ca5Co4(VO4)6 + 5 CO2 + 1 O2,2014,"['calcined', 'sintered', 'heated']","[[775.0], [], [500.0]]","[[3.0], [], []]",,,775.0,3.0,10.1016/j.jeurceramsoc.2014.03.026,True,2,"['CaCO3', 'Co2O3', 'V2O5']"
"['Al2O3', 'CaCl2', 'CaCO3']",Ca6Al7ClO16,7 Al2O3 + 11 CaCO3 + 1 CaCl2·2H2O == 1 Ca12Al14O32Cl2 + 11 CO2 + 2 H2O,2008,['heated'],[[999.85]],[[24.0]],,,1300.0,,10.1016/j.jssc.2007.11.002,True,1,"['Al2O3', 'CaCO3', 'CaCl2']"
"['Nb2O5', 'CaCO3', 'Bi2O3']",Ca7Nb1Bi20O39.5,10 Bi2O3 + 7 CaCO3 + 0.5 Nb2O5 == 1 Bi20Ca7NbO39.5 + 7 CO2,2010,['calcined'],[[799.85]],[[36.0]],,,799.85,36.0,10.1016/j.ssi.2010.09.028,True,2,"['Bi2O3', 'CaCO3', 'Nb2O5']"
"['CaCl2', 'CaCO3', 'SiO2']",Ca7Si2(Cl3O4)2,4 CaCO3 + 3 CaCl2 + 2 SiO2 == 1 Ca7(SiO4)2Cl6 + 4 CO2 ; target Ca7(SiO4)2Cl6 with additives Eu2+ via Eu2O3,2012,"['sintered', 'sintered']","[[700.0], [900.0]]","[[], [4.0]]",900.0,4.0,,,10.1016/j.matlet.2011.10.107,True,2,"['CaCO3', 'CaCl2', 'SiO2']"
"['Al2O3', 'ZrO2', 'CaCO3']",Ca7ZrAl6O18,3 Al2O3 + 7 CaCO3 + 1 ZrO2 == 1 Ca7ZrAl6O18 + 7 CO2,2007,['heated'],[[1399.85]],[[80.0]],,,1300.0,10.0,10.1021/cm070731z,True,2,"['Al2O3', 'CaCO3', 'ZrO2']"
"['CaCl2', 'GeO2', 'CaCO3', 'Mg(NO3)2']",Ca8MgGe4(ClO8)2,7 CaCO3 + 1 CaCl2 + 4 GeO2 + 1 Mg(NO3)2·6H2O + 2 [OH-] == 1 Ca8Mg(GeO4)4Cl2 + 7 CO2 + 7 H2O + 2 [NO3-],2013,"['preheated', 'sintered', 'calcined', 'heated']","[[500.0], [950.0], [700.0], [300.0]]","[[4.0], [2.0], [6.0], []]",950.0,2.0,700.0,6.0,10.1111/jace.12032,True,4,"['CaCO3', 'CaCl2', 'GeO2', 'Mg(NO3)2']"
"['SiH2O3', 'CaCl2', 'Mg(NO3)2', 'CaCO3']",Ca8MgSi4(ClO8)2,7 CaCO3 + 1 CaCl2 + 4 H2SiO3 + 1 Mg(NO3)2·6H2O + 2 [OH-] == 1 Ca8Mg(SiO4)4Cl2 + 7 CO2 + 11 H2O + 2 [NO3-],2013,"['preheated', 'sintered', 'calcined', 'heated']","[[500.0], [950.0], [700.0], [300.0]]","[[4.0], [2.0], [6.0], []]",950.0,2.0,700.0,6.0,10.1111/jace.12032,True,4,"['CaCO3', 'CaCl2', 'Mg(NO3)2', 'SiH2O3']"
"['SiO2', 'CaCl2', 'CaCO3', 'MgO']",Ca8MgSi4(ClO8)2,"7 CaCO3 + 1 CaCl2 + 1 MgO + 4 SiO2 == 1 Ca8Mg(SiO4)4Cl2 + 7 CO2 ; target Ca8Mg(SiO4)4Cl2 with additives Ce3+, Eu2+ via CeO2, Eu2O3",2002,[],[],[],,,1100.0,4.0,10.1016/s0925-3467(01)00179-3,True,2,"['CaCO3', 'CaCl2', 'MgO', 'SiO2']"
"['CaCO3', 'Ca2P2O7', 'Co3O4']",Ca9.5Co1P7O28,3.5 Ca2P2O7 + 2.5 CaCO3 + 0.333 Co3O4 == 1 Ca9.5Co(PO4)7 + 2.5 CO2 + 0.167 O2,1998,"['annealing', 'annealing']","[[999.85], [1199.85]]","[[80.0], [8.0]]",,,1199.85,8.0,10.1016/s0025-5408(98)00083-x,True,2,"['Ca2P2O7', 'CaCO3', 'Co3O4']"
"['CaCO3', 'Ca2P2O7', 'Co3O4']",Ca9Co(PO4)7,3.5 Ca2P2O7 + 2 CaCO3 + 0.333 Co3O4 + 0.083 O2 == 1 Ca9Co(PO4)7 + 2 CO2,1998,"['annealing', 'annealing']","[[999.85], [1199.85]]","[[80.0], [8.0]]",,,1199.85,8.0,10.1016/s0025-5408(98)00083-x,True,2,"['Ca2P2O7', 'CaCO3', 'Co3O4']"
"['Fe2O3', 'CaCO3', 'PH9(NO2)2']",Ca9Fe(PO4)7,7 (NH4)2HPO4 + 9 CaCO3 + 0.5 Fe2O3 == 1 Ca9Fe(PO4)7 + 9 CO2 + 10.5 H2O + 14 NH3,2000,"['heated', 'calcined']","[[609.85], [1146.85]]","[[], []]",,,1146.85,,10.1016/s0025-5408(00)00403-7,True,1,"['CaCO3', 'Fe2O3', 'PH9(NO2)2']"
"['CaO', 'SiO2', 'Ca2P2O7', 'CaF2', 'Nd2O3']",Ca9NdSiP5(O12F)2,2.5 Ca2P2O7 + 1 CaF2 + 3 CaO + 0.5 Nd2O3 + 1 SiO2 == 1 Ca9Nd(PO4)5(SiO4)F2,2006,"['calcination', 'treatment']","[[1399.85], [1399.85]]","[[6.0], [6.0]]",,,1399.85,6.0,10.1016/j.jnucmat.2006.02.058,True,2,"['Ca2P2O7', 'CaF2', 'CaO', 'Nd2O3', 'SiO2']"
"['Yb2O3', 'VH4NO3', 'CaCO3']",Ca9YbV7O28,9 CaCO3 + 7 NH4VO3 + 0.5 Yb2O3 == 1 Ca9Yb(VO4)7 + 9 CO2 + 3.5 H2O + 7 NH3,2012,"['heated', 'sintered']","[[830.0], [1000.0]]","[[5.0], [5.0]]",1000.0,5.0,,,10.1016/j.matlet.2012.08.056,True,2,"['CaCO3', 'VH4NO3', 'Yb2O3']"
"['Al2O3', 'SiO2', 'Ca2CO3']",CaAl2(SiO4)2,1 Al2O3 + 0.5 Ca2CO3 + 0.25 O2 + 2 SiO2 == 1 CaAl2Si2O8 + 0.5 CO2,2009,['annealed'],[[600.0]],[[10.0]],,,600.0,10.0,10.1039/b906399d,True,2,"['Al2O3', 'Ca2CO3', 'SiO2']"
"['Al2O3', 'CaCO3', 'SiO2']",CaAl2(SiO4)2,"1 Al2O3 + 1 CaCO3 + 2 SiO2 == 1 CaAl2Si2O8 + 1 CO2 ; target CaAl2Si2O8 with additives Eu, Mn via Eu2O3, MnCO3",2005,"['calcined', 'sintered', 'reduced']","[[], [1400.0], [900.0]]","[[], [5.0], [3.0]]",1400.0,5.0,1096.6166666666666,,10.1021/cm050638f,True,3,"['Al2O3', 'CaCO3', 'SiO2']"
"['Al2O3', 'CaCO3']",CaAl2O4,1 Al2O3 + 1 CaCO3 == 1 CaAl2O4 + 1 CO2 ; target CaAl2O4 with additives Ce3+ via Ce2(CO3)3,2003,"['sintered', 'sintered']","[[900.0], [1350.0]]","[[2.0], [50.0]]",1225.0,13.2,1237.5,6.75,10.1149/1.1553792,True,4,"['Al2O3', 'CaCO3']"
"['Al2O3', 'CaCO3', 'SiO2']",CaAl2SiO7,1 Al2O3 + 1 CaCO3 + 0.5 O2 + 1 SiO2 == 1 CaAl2SiO7 + 1 CO2 ; target CaAl2SiO7 with additives Ce via CeO,2012,['sintering'],[[1300.0]],[[4.0]],1300.0,4.0,,,10.1016/j.jlumin.2011.09.054,True,2,"['Al2O3', 'CaCO3', 'SiO2']"
