precursor_formulas,target_formula,Reaction,Year,Heating Operations,Heating Temperatures,Heating Times,Sintering Temperature,Sintering Time,Calcination Temperature,Calcination Time,DOI,Elements Match,Available Values Count
"['Cr2O3', 'Cu2O', 'V2O5']",V0.04Cr0.96Cu1O2,0.48 Cr2O3 + 0.5 Cu2O + 0.02 V2O5 == 1 CuCr0.96V0.04O2 + 0.02 O2,2019,['calcined'],[[1100.0]],[[]],,,1100.0,,10.1016/j.jallcom.2019.03.291,True,1
['Ti2AlO3'],Ti2AlO5,1 AlTi2O3 + 1 O2 == 1 AlTi2O5,2019,['sintered'],[[1300.0]],[[]],1300.0,,,,10.1016/j.jpcs.2018.12.029,True,1
"['MnCO3', 'La2O3', 'WO3', 'BaCO3']",Ba3La3Mn2(WO6)3,3 BaCO3 + 1.5 La2O3 + 2 MnCO3 + 3 WO3 == 1 Ba3La3Mn2W3O18 + 5 CO2 + 0.25 O2,2005,"['pretreated', 'preheated', 'sintered']","[[200.0, 700.0], [950.0], [1200.0]]","[[6.0], [6.0], [3.0]]",1200.0,3.0,,,10.1016/j.jssc.2004.11.007,True,2
"['BaCo3', 'CoO', 'MgO', 'Fe2O3']",Ba2Mg0.5Fe12Co1.5O22,2 BaCo3 + -4.5 CoO + 6 Fe2O3 + 0.5 MgO + 4 O2 == 1 Ba2Mg0.5Co1.5Fe12O22,2012,"['annealed', 'heated']","[[1100.0], [20.0]]","[[10.0], []]",,,1100.0,10.0,10.1063/1.3679023,True,2
"['Al2O3', 'SiO2', 'Li2CO3']",LiAlSiO4,0.5 Al2O3 + 0.5 Li2CO3 + 1 SiO2 == 1 LiAlSiO4 + 0.5 CO2,2016,"['melted', 'dwelled']","[[], [1600.0]]","[[], [1.0]]",,,,15.0,10.1021/acs.inorgchem.6b01181,True,1
"['Ag2S', 'Ga2S3']",GaAgS2,0.5 Ag2S + 0.5 Ga2S3 == 1 AgGaS2,2007,"['annealed', 'annealed', 'treated']","[[799.85], [799.85], [849.85]]","[[5.0], [], [3.0]]",,,799.85,7.5,10.1016/j.jssc.2007.01.008,True,2
"['La', 'SrCO3', 'MgO', 'Ga']",Sr0.05La0.95Mg0.1Ga0.9O3,0.9 Ga + 0.95 La + 0.1 MgO + 1.425 O2 + 0.05 SrCO3 == 1 La0.95Sr0.05Ga0.90Mg0.10O3 + 0.05 CO2,2006,"['calcined', 'sintered']","[[1100.0], [1550.0]]","[[12.0], [4.0]]",1550.0,4.0,1100.0,12.0,10.1016/j.jeurceramsoc.2006.02.017,True,4
"['Nb2O5', 'Bi2O3']",NbBi3O7,1.5 Bi2O3 + 0.5 Nb2O5 == 1 Bi3NbO7,2006,"['heated', 'calcined']","[[700.0], [800.0]]","[[5.0], [5.0]]",1000.0,40.0,766.6666666666666,3.6666666666666665,10.1016/j.jssc.2006.06.031,True,4
"['CaO', 'Cr2O3']",CaCr2O4,1 CaO + 1 Cr2O3 == 1 CaCr2O4,2010,"['heated', 'heated']","[[1000.0], [1400.0]]","[[], []]",1500.0,,,,10.1103/physrevb.81.214405,True,1
"['Nb2O5', 'CaCO3', 'BaCO3']",Ba3CaNb2O9,3 BaCO3 + 1 CaCO3 + 1 Nb2O5 == 1 Ba3CaNb2O9 + 4 CO2,2016,"['calcined', 'sintered', 'heating']","[[1300.0], [], []]","[[2.0], [], []]",,,1299.925,2.0,10.1016/j.ceramint.2016.08.113,True,2
"['ZrO2', 'NiO', 'Ta2O5']",ZrTa2NiO8,1 NiO + 1 Ta2O5 + 1 ZrO2 == 1 NiZrTa2O8,2019,"['calcined', 'sintered']","[[1200.0], [1275.0]]","[[4.0], []]",1275.0,,1200.0,4.0,10.1016/j.jallcom.2018.11.132,True,3
"['TiO2', 'SrCO3', 'Nb2O5']",Sr0.98Ti0.85Nb0.15O3,0.075 Nb2O5 + 0.98 SrCO3 + 0.85 TiO2 == 1 Sr0.98Ti0.85Nb0.15O3 + 0.98 CO2 + 0.028 O2,2019,['calcined'],[[1350.0]],[[4.0]],,,1350.0,4.0,10.1016/j.carbon.2018.11.023,True,2
"['CuO', 'BaO2']",BaCuO2,1 BaO2 + 1 CuO == 1 BaCuO2 + 0.5 O2,1998,['firing'],[[]],[[]],,,900.0,20.0,10.1016/s0921-5107(98)00138-x,True,2
"['Nb2O5', 'CaCO3']",Ca4Nb2O9,4 CaCO3 + 1 Nb2O5 == 1 Ca4Nb2O9 + 4 CO2,2015,"['calcined', 'heating', 'sintered', 'heating', 'firing']","[[], [], [1100.0], [], [750.0]]","[[], [], [4.0], [], []]",1275.0,4.0,900.0,4.0,10.1016/j.ceramint.2015.03.189,True,4
"['TiO2', 'SrCO3', 'CuO']",Sr1Ti0.75Cu0.25O3,0.25 CuO + 0.125 O2 + 1 SrCO3 + 0.75 TiO2 == 1 SrTi0.75Cu0.25O3 + 1 CO2,2013,['sintering'],[[1400.0]],[[5.0]],1400.0,5.0,,,10.1063/1.4821022,True,2
"['In2O3', 'HfO2', 'MgO', 'MoO3']",Hf0.7Mg0.7In0.6Mo3O12,0.7 HfO2 + 0.3 In2O3 + 0.7 MgO + 3 MoO3 == 1 In0.6(HfMg)0.7Mo3O12,2017,"['annealing', 'calcined', 're-sintered', 'annealed']","[[799.85], [], [699.85], [499.85]]","[[5.0], [], [3.0], []]",699.85,3.0,499.85,5.0,10.1016/j.physleta.2017.05.002,True,4
"['U(NO4)2', 'Ca(NO3)2', 'Sr(NO3)2']",Sr1.5Ca1.5U1O6,1.5 Ca(NO3)2·4H2O + 1.5 Sr(NO3)2 + 1 UO2(NO3)2·6H2O + 8 [OH-] == 1 UCa1.5Sr1.5O6 + 16 H2O + 8 [NO3-],2001,"['calcined', 'sintered']","[[400.0], [1250.0]]","[[1.0], [24.0]]",1250.0,24.0,400.0,1.0,10.1016/s0921-4534(01)00044-2,True,4
"['In2O3', 'ZnO']",Zn0.02In1.98O3,0.99 In2O3 + 0.005 O2 + 0.02 ZnO == 1 In1.98Zn0.02O3,2013,"['calcined', 'sintered', 'annealed']","[[699.85], [949.85], [699.85]]","[[2.0], [], [2.0]]",949.85,,699.85,2.0,10.1039/c3cp52942h,True,3
"['TiO2', 'ZnO', 'Li2CO3']",Li2Ti3ZnO8,1 Li2CO3 + 3 TiO2 + 1 ZnO == 1 Li2ZnTi3O8 + 1 CO2,2012,['calcined'],[[]],[[4.0]],1020.0,3.1666666666666665,790.0,5.0,10.1007/s10854-012-0653-5,True,4
"['LaH9(CO)6', 'CoH9(CO)6']",LaCoO3,1 Co(CH3COO)3 + 1 La(CH3COO)3 + 6 [OH-] == 1 LaCoO3 + 3 H2O + 6 [CH3COO-],2008,"['calcined', 'calcined']","[[599.85], [999.85]]","[[6.0], [6.0]]",,,999.85,6.0,10.1149/1.2953573,True,2
"['BaCl2', 'Y2O3', 'B2O3', 'BaCO3']",Ba2YB2ClO6,"1 B2O3 + 1.5 BaCO3 + 0.5 BaCl2·2H2O + 0.5 Y2O3 == 1 Ba2Y(BO3)2Cl + 1.5 CO2 + 1 H2O ; target Ba2Y(BO3)2Cl with additives Bi3+, Eu3+ via Bi2O3, Eu2O3",2017,[],[],[],850.0,4.0,,,10.1021/acs.jpcc.7b00019,True,2
"['CeO2', 'Y2O3']",Ce0.85Y0.15O2,0.85 CeO2 + 0.038 O2 + 0.075 Y2O3 == 1 Ce0.85Y0.15O2,2015,['calcined'],[[1200.0]],[[12.0]],,,1200.0,12.0,10.1039/c5ee01793a,True,2
"['Nb2O5', 'Ba(NO3)2', 'Fe2O3', 'MgCO3']",Ba1Mg0.33Nb0.34Fe0.33O3,1 Ba(NO3)2 + 0.165 Fe2O3 + 0.33 MgCO3 + 0.17 Nb2O5 + 0.162 O2 + 2 [OH-] == 1 BaMg0.33Nb0.34Fe0.33O3 + 0.33 CO2 + 1 H2O + 2 [NO3-],2014,"['firing', 'sintered', 'sintered', 're-sintered']","[[1000.0], [1400.0], [1300.0], [1200.0]]","[[12.0], [], [], []]",1200.0,,,,10.1016/j.ssi.2013.09.050,True,1
"['NaF', 'Fe(CO2)2', 'NaH3(CO)2', 'PH6NO4']",Na2FePO4F,1 FeC2O4·H2O + 1 NH4H2PO4 + 1 Na(CH3COO) + 1 NaF + 2 [OH-] == 1 Na2FePO4F + 2 H2O + 1 NH3 + 1.5 O2 + 2 [CH3COO-],2011,"['treated', 'sintered']","[[350.0], [650.0]]","[[3.0], [10.0]]",650.0,10.0,,,10.1063/1.3561798,True,2
"['Y2O3', 'Fe2O3', 'Bi2O3']",Y2Fe5BiO12,0.5 Bi2O3 + 2.5 Fe2O3 + 1 Y2O3 == 1 BiY2Fe5O12,2007,"['annealed', 'annealed']","[[1000.0], []]","[[4.0], []]",,,1000.0,4.0,10.1016/j.jmmm.2007.04.016,True,2
"['RuO2', 'La2O3', 'SrCO3', 'MnO2']",Sr0.3La0.7Mn0.9Ru0.1O3,0.35 La2O3 + 0.9 MnO2 + 0.1 RuO2 + 0.3 SrCO3 == 1 La0.7Sr0.3Mn0.9Ru0.1O3 + 0.3 CO2 + 0.175 O2,2004,"['calcinated', 'sintered']","[[1000.0], [1100.0, 1300.0]]","[[24.0], []]",1100.0,,1000.0,24.0,10.1016/j.jmmm.2003.09.003,True,3
"['SnO2', 'TiO2', 'BaCO3']",Ba1Ti0.975Sn0.025O3,1 BaCO3 + 0.025 SnO2 + 0.975 TiO2 == 1 BaTi0.975Sn0.025O3 + 1 CO2,2013,"['calcined', 'burning', 'sintered', 'fired']","[[1050.0], [], [1350.0], [300.0]]","[[4.0], [], [4.0], [1.0]]",1350.0,4.0,1050.0,4.0,10.1016/j.radphyschem.2013.05.026,True,4
"['MnO2', 'Tb4O7']",TbMnO3,1 MnO2 + 0.25 Tb4O7 == 1 TbMnO3 + 0.375 O2,2006,"['fired', 'fired']","[[1300.0], [1500.0]]","[[10.0], [10.0]]",1350.0,18.0,1300.0,12.0,10.1016/j.ssc.2006.04.033,True,4
"['Y2O3', 'CuO', 'BaCO3']",BaY2CuO6,1 BaCO3 + 1 CuO + 0.5 O2 + 1 Y2O3 == 1 Y2BaCuO6 + 1 CO2,2020,"['calcinated', 'annealed']","[[920.0, 900.0], []]","[[15.0, 20.0], []]",,,920.0,15.0,10.1016/j.jallcom.2020.154400,True,2
"['Na2CO3', 'CaCO3', 'Co3O4']",Na0.3Ca2.7Co2O6,2.7 CaCO3 + 0.667 Co3O4 + 0.15 Na2CO3 + 0.242 O2 == 1 Ca2.7Na0.3Co2O6 + 2.85 CO2,2005,"['calcined', 'sintered']","[[999.85], [999.85]]","[[20.0], [40.0]]",999.85,40.0,999.85,20.0,10.1016/j.jssc.2005.03.004,True,4
"['Na2CO3', 'Nb2O5']",NaNbO3,0.5 Na2CO3 + 0.5 Nb2O5 == 1 NaNbO3 + 0.5 CO2,2003,['calcined'],[[1000.0]],[[24.0]],1209.1,4.785714285714286,932.4863636363636,8.19047619047619,10.1039/b209828h,True,4
"['Ga2O3', 'Bi2O3']",GaBi25O39,12.5 Bi2O3 + 0.5 Ga2O3 == 1 Bi25GaO39,2008,['calcined'],[[800.0]],[[48.0]],,,800.0,48.0,10.1016/j.catcom.2007.02.004,True,2
"['La2O3', 'CaCO3', 'Nb2O5']",Ca0.03La2.97Nb1O7,0.03 CaCO3 + 1.485 La2O3 + 0.5 Nb2O5 + 0.007 O2 == 1 La2.97Ca0.03NbO7 + 0.03 CO2,2009,['calcined'],[[900.0]],[[15.0]],,,900.0,15.0,10.1149/1.3068397,True,2
"['MnO', 'NiO', 'Y2O3']",Y1Mn0.5Ni0.5O3,0.5 MnO + 0.5 NiO + 0.25 O2 + 0.5 Y2O3 == 1 YNi0.50Mn0.50O3,2004,"['heated', 'annealed']","[[], [1400.0]]","[[], []]",,,1400.0,,10.1016/j.ssc.2003.09.039,True,1
"['MnCO3', 'CaCO3']",Ca0.99Mn0.01O1,0.99 CaCO3 + 0.01 MnCO3 == 1 Mn0.01Ca0.99O + 1 CO2,2016,['annealed'],[[1200.0]],[[2.0]],,,1200.0,2.0,10.1039/c6tc02773c,True,2
"['La2O3', 'SrO2', 'Nb2O5', 'V2O5']",Sr0.02La0.98Nb0.85V0.15O4,0.49 La2O3 + 0.425 Nb2O5 + 0.02 SrO2 + 0.075 V2O5 == 1 Sr0.02La0.98Nb0.85V0.15O4 + 0.005 O2,2012,['calcined'],[[699.85]],[[10.0]],,,699.85,10.0,10.1016/j.ijhydene.2011.12.041,True,2
"['Ga2O3', 'In2O3', 'ZnO']",ZnInGaO4,0.5 Ga2O3 + 0.5 In2O3 + 1 ZnO == 1 InGaZnO4,1998,"['heated', 'annealed']","[[1250.0], [900.0]]","[[4.0], []]",1450.0,5.0,1024.925,20.0,10.1016/s0038-1098(98)00456-6,True,4
"['La2O3', 'Fe2O3', 'Ag2O']",La0.88Fe1Ag0.12O3,0.06 Ag2O + 0.5 Fe2O3 + 0.44 La2O3 + 0.06 O2 == 1 La0.88Ag0.12FeO3,2007,['calcined'],[[500.0]],[[5.0]],,,500.0,5.0,10.1007/s10562-007-9206-6,True,2
"['MnO', 'NiO', 'Y2O3']",Y2MnNiO6,1 MnO + 1 NiO + 0.5 O2 + 1 Y2O3 == 1 Y2NiMnO6,2014,"['sintered', 'sintering']","[[1180.0], [1280.0]]","[[], []]",1280.0,,,,10.1016/j.jmmm.2014.05.035,True,1
"['Nd2O3', 'ZnO', 'SrCO3', 'BaCO3']",Ba0.5Sr0.5Nd2Zn1O5,0.5 BaCO3 + 1 Nd2O3 + 0.5 SrCO3 + 1 ZnO == 1 Nd2Ba0.5Sr0.5ZnO5 + 1 CO2,2001,"['calcined', 'sintered', 'annealed']","[[950.0], [], [850.0]]","[[20.0], [2.0], [2.0]]",,2.0,850.0,2.0,10.1016/s0955-2219(01)00104-2,True,3
"['TiO2', 'La2O3', 'SrCO3', 'Nb2O5']",Sr4LaTiNb3O15,0.5 La2O3 + 1.5 Nb2O5 + 4 SrCO3 + 1 TiO2 == 1 Sr4LaTiNb3O15 + 4 CO2,2008,"['calcined', 'calcined']","[[1200.0], [1400.0]]","[[4.0], [12.0]]",,,1400.0,12.0,10.1111/j.1551-2916.2008.02520.x,True,2
"['Co0.2Ni0.8H2O2', 'LiHO']",Li1Co0.2Ni0.8O2,1 LiOH·H2O + 1 Ni0.8Co0.2(OH)2 + 0.25 O2 == 1 LiNi0.8Co0.2O2 + 2.5 H2O,2001,['sintered'],[[750.0]],[[8.0]],750.0,8.0,,,10.1016/s0378-7753(01)00477-3,True,2
"['TiO2', 'NaCO3', 'Bi2O3']",Na0.5Ti1Bi0.5O3,0.25 Bi2O3 + 0.5 NaCO3 + 1 TiO2 == 1 Na0.5Bi0.5TiO3 + 0.5 CO2 + 0.125 O2,2017,"['calcined', 'sintered']","[[1050.0, 1100.0], []]","[[], []]",1100.0,,1066.6666666666667,3.0,10.1016/j.matlet.2017.08.023,True,3
"['MnCO3', 'NiO', 'Li2CO3']",Li1Mn1.5Ni0.5O4,0.5 Li2CO3 + 1.5 MnCO3 + 0.5 NiO + 0.75 O2 == 1 LiNi0.5Mn1.5O4 + 2 CO2,2012,"['treatment', 'annealed']","[[900.0], [700.0]]","[[24.0], [8.0]]",,,780.0,29.0,10.1002/adma.201104767,True,2
"['CoO', 'Fe2O3', 'BaCO3']",Ba2Fe12Co2O27,2 BaCO3 + 2 CoO + 6 Fe2O3 + 2.5 O2 == 1 Ba2Co2Fe12O27 + 2 CO2,2017,['calcined'],[[1250.0]],[[2.0]],,,1250.0,2.0,10.1016/j.matchemphys.2017.05.057,True,2
"['SrCO3', 'V2O5']",SrVO3,1 SrCO3 + 0.5 V2O5 == 1 SrVO3 + 1 CO2 + 0.25 O2,2000,['treated'],[[840.0]],[[50.0]],1500.0,10.0,,,10.1016/s0921-4534(00)00138-6,True,2
"['Sc2O3', 'BaF2', 'BaCO3']",BaScO2F,0.5 BaCO3 + 0.5 BaF2 + 0.5 Sc2O3 == 1 BaScO2F + 0.5 CO2,2019,"['calcined', 'sintered']","[[800.0], [1200.0]]","[[12.0], [12.0]]",1200.0,12.0,800.0,12.0,10.1016/j.jssc.2019.120919,True,4
"['TiO2', 'La2O3', 'CaCO3', 'CuO']",Ca1.95La0.05Ti4Cu2O12,1.95 CaCO3 + 2 CuO + 0.025 La2O3 + 4 TiO2 == 1 Ca1.95La0.05Cu2Ti4O12 + 1.95 CO2 + 0.012 O2,2014,"['calcined', 're-calcined', 'sintered']","[[900.0], [900.0], [1100.0]]","[[10.0], [5.0], [24.0]]",1100.0,24.0,900.0,5.0,10.1007/s10854-014-2219-1,True,4
"['ZrO2', 'Tm2O3', 'Y2O3']",Y1.97Tm0.01Zr0.02O3,0.005 Tm2O3 + 0.985 Y2O3 + 0.02 ZrO2 == 1 (Tm0.005Y0.985Zr0.01)2O3 + 0.005 O2,2016,"['calcined', 'sintered', 'annealed']","[[1000.0], [1860.0, 1450.0], [1400.0]]","[[3.0], [], [10.0]]",1860.0,,1400.0,10.0,10.1111/jace.14164,True,3
"['Sc2O3', 'In2O3', 'MoO3']",Sc1.5In0.5Mo3O12,0.25 In2O3 + 3 MoO3 + 0.75 Sc2O3 == 1 In0.5Sc1.5(MoO4)3,2019,"['pre-sintered', 'sintered', 'sintered']","[[600.0], [780.0], [1200.0]]","[[6.0], [6.0], [6.0]]",1200.0,6.0,,,10.1016/j.jallcom.2018.12.276,True,2
"['Mo7H24(NO4)6', 'SrCO3', 'Eu2O3']",Sr0.4Eu0.4Mo1O4,0.143 (NH4)6Mo7O24·4H2O + 0.2 Eu2O3 + 0.4 SrCO3 == 1 (Sr0.4Eu0.4)MoO4 + 0.4 CO2 + 1 H2O + 0.857 NH3,2013,"['pre-sintered', 'sintered']","[[500.0], [750.0]]","[[2.0], [5.0]]",750.0,5.0,,,10.1002/pssa.201329071,True,2
"['ZnCO3', 'CdCO3', 'Fe2O3', 'BaCO3']",BaZnCdFe16O27,1 BaCO3 + 1 CdCO3 + 8 Fe2O3 + 1 ZnCO3 == 1 Ba(Zn0.5Cd0.5)2Fe16O27 + 3 CO2,2014,['sintered'],[[1299.85]],[[4.0]],1299.85,4.0,,,10.1016/j.jmmm.2013.08.058,True,2
"['SrNb2O6', 'NaNbO3']",NaSr2Nb5O15,1 NaNbO3 + 2 SrNb2O6 == 1 Sr2NaNb5O15,2010,['calcined'],[[1100.0]],[[4.0]],,,1100.0,4.0,10.1111/j.1551-2916.2010.03683.x,True,2
"['SrCO3', 'Fe2O3']",Sr4Fe6O13,3 Fe2O3 + 4 SrCO3 == 1 Sr4Fe6O13 + 4 CO2,2001,"['calcined', 'fired', 'sintered']","[[1000.0, 850.0], [1150.0], [1200.0]]","[[10.0, 10.0], [20.0], [10.0]]",1216.6666666666667,10.0,949.925,15.0,10.1016/s0167-2738(01)00681-6,True,4
"['La2O3', 'Mn2O3']",LaMnO3,0.5 La2O3 + 0.5 Mn2O3 == 1 LaMnO3,2003,[],[],[],,,700.0,4.0,10.1039/b208550j,True,2
"['Yb2O3', 'La2O3', 'Er2O3', 'Y2O3']",Yb0.26La0.1Y1.6Er0.04O3,0.02 Er2O3 + 0.05 La2O3 + 0.8 Y2O3 + 0.13 Yb2O3 == 1 (Er0.02Yb0.13Y0.8La0.05)2O3,2012,"['calcined', 'Sintering', 'heated']","[[1100.0], [], []]","[[4.0], [], []]",,,1100.0,4.0,10.1016/j.matchemphys.2012.05.048,True,2
"['CeO2', 'ZrO2', 'Li2CO3']",Li8Ce0.02Zr0.98O6,0.02 CeO2 + 4 Li2CO3 + 0.98 ZrO2 == 1 Li8Zr0.98Ce0.02O6 + 4 CO2,2018,['annealed'],[[599.85]],[[6.0]],,,599.85,6.0,10.1007/s10008-018-3993-0,True,2
"['SnO2', 'Co3O4']",Co2SnO4,0.667 Co3O4 + 1 SnO2 == 1 Co2SnO4 + 0.333 O2,2002,[],[],[],1316.6666666666667,33.0,1200.0,48.0,10.1016/s0013-4686(02)00144-5,True,4
"['La2O3', 'Li2O']",LiLaO2,0.5 La2O3 + 0.5 Li2O == 1 LaLiO2,2016,['sintered'],[[800.0]],[[24.0]],800.0,24.0,,,10.1016/j.ssi.2015.09.001,True,2
"['Fe1.5P1', 'Fe', 'Li2CO3']",LiFePO4,-0.5 Fe + 1 Fe1.5P + 0.5 Li2CO3 + 1.75 O2 == 1 LiFePO4 + 0.5 CO2,2017,"['preheated', 'calcined']","[[550.0], [700.0]]","[[5.0], [6.0]]",,,700.0,6.0,10.1002/celc.201600525,True,2
"['ZrO2', 'Nb2O5', 'CaCO3', 'Fe2O3', 'BaCO3', 'TiO2']",Ba0.865Ca0.135Zr0.1078Ti0.8722Nb0.01Fe0.01O3,0.865 BaCO3 + 0.135 CaCO3 + 0.005 Fe2O3 + 0.005 Nb2O5 + 0.872 TiO2 + 0.108 ZrO2 == 1 (Ba0.865Ca0.135Zr0.1078Ti0.8722Fe0.01Nb0.01)O3 + 1 CO2,2016,"['calcined', 'sintered']","[[1300.0], [1500.0]]","[[2.0], [2.0]]",1500.0,2.0,1300.0,2.0,10.1002/ente.201500205,True,4
"['NiO', 'Fe2O3', 'ZnO']",Zn0.639Fe1.996Ni0.361O4,0.998 Fe2O3 + 0.361 NiO + 0.003 O2 + 0.639 ZnO == 1 Ni0.361Zn0.639Fe1.996O4,2008,['calcined'],[[950.0]],[[2.0]],,,950.0,2.0,10.1016/j.jmmm.2008.07.015,True,2
"['TiO2', 'Cs2CO3']",Cs0.7Ti1.825O4,0.35 Cs2CO3 + 1.825 TiO2 == 1 Cs0.7Ti1.825O4 + 0.35 CO2,2011,"['calcination', 'calcination']","[[1099.85], [799.85]]","[[12.0], [20.0]]",,,799.85,20.0,10.1021/jp203332v,True,2
"['TiO2', 'Nb2O5', 'Li2CO3']",Li1.1Ti0.5Nb0.58O3,0.55 Li2CO3 + 0.29 Nb2O5 + 0.5 TiO2 == 1 Li1.1Nb0.58Ti0.5O3 + 0.55 CO2,2010,['calcined'],[[900.0]],[[2.0]],,,900.0,2.0,10.1007/s10854-009-9894-3,True,2
"['CuO', 'V2O5']",V2Cu2O7,2 CuO + 1 V2O5 == 1 Cu2V2O7,2015,"['calcined', 'melted']","[[500.0], [850.0]]","[[24.0], []]",564.85,10.0,500.0,24.0,10.1103/physrevb.92.024423,True,4
"['MnO2', 'SrCO3', 'CaCO3', 'Bi2O3']",Sr0.1Ca0.4Mn1Bi0.5O3,0.25 Bi2O3 + 0.4 CaCO3 + 1 MnO2 + 0.1 SrCO3 == 1 Bi0.5Ca0.4Sr0.1MnO3 + 0.5 CO2 + 0.125 O2,2006,"['fired', 'sintered']","[[700.0], [950.0, 800.0]]","[[24.0], [24.0, 24.0]]",950.0,24.0,,,10.1016/j.ssc.2006.02.022,True,2
"['Co3O4', 'Gd2O3', 'BaCO3']",BaGdCo2O5,1 BaCO3 + 0.667 Co3O4 + 0.5 Gd2O3 == 1 GdBaCo2O5 + 1 CO2 + 0.083 O2,2007,['calcined'],"[[1000.0, 900.0]]",[[20.0]],1171.1833333333332,12.0,999.91,16.5,10.1039/b704320a,True,4
"['PbCO3', 'SrCO3', 'Fe2O3']",Sr0.5Fe12Pb0.5O19,6 Fe2O3 + 0.5 PbCO3 + 0.5 SrCO3 == 1 Sr0.5Pb0.5Fe12O19 + 1 CO2,2015,['sintered'],[[1199.85]],[[4.0]],1199.85,4.0,,,10.1016/j.jmmm.2015.03.078,True,2
"['Ga2O3', 'La2O3', 'SiO2']",La3Ga17SiO14,8.5 Ga2O3 + 1.5 La2O3 + 1 SiO2 == 1 Ga12La3Ga5SiO14 + 9 O2,2014,"['calcined', 'sintered']","[[1400.0], [1420.0]]","[[10.0], [12.0]]",1420.0,12.0,1400.0,10.0,10.1016/j.ssi.2014.05.017,True,4
"['SrCO3', 'Fe2O3', 'Ta2O5']",Sr1Ta0.05Fe0.95O3,0.475 Fe2O3 + 0.225 O2 + 1 SrCO3 + 0.025 Ta2O5 == 1 SrFe0.95Ta0.05O3 + 1 CO2,2016,[],[],[],1450.0,10.0,1050.0,5.0,10.1002/cssc.201501395,True,4
"['TiO2', 'La2O3', 'Nb2O5', 'BaCO3']",Ba2LaTi2Nb3O15,4 BaCO3 + 1 La2O3 + 3 Nb2O5 + 4 TiO2 == 1 Ba4La2Ti4Nb6O30 + 4 CO2,2019,"['calcined', 'sintered']","[[1300.0], [1350.0]]","[[5.0], [3.0]]",1350.0,3.0,1300.0,5.0,10.1016/j.jpcs.2018.09.013,True,4
"['TiO2', 'ZrO2', 'Nb2O5', 'Pb3O4']",Zr0.931Ti0.049Nb0.02Pb0.99O3,0.01 Nb2O5 + 0.33 Pb3O4 + 0.049 TiO2 + 0.931 ZrO2 == 1 Pb0.99(Zr0.95Ti0.05)0.98Nb0.02O3 + 0.165 O2,2018,['sintered'],[[1330.0]],[[1.5]],1330.0,1.5,,,10.1016/j.mseb.2017.10.007,True,2
"['CaO', 'Fe2O3', 'Bi2O3']",Ca0.15Fe1Bi0.85O2.925,0.425 Bi2O3 + 0.15 CaO + 0.5 Fe2O3 == 1 (Bi0.85Ca0.15)FeO2.925,2013,['calcined'],[[800.0]],[[3.0]],,,800.0,3.0,10.1063/1.4823856,True,2
"['SiO2', 'MgO', 'Eu2O3', 'BaCO3']",Ba1.95Eu0.05Mg1Si2O7,1.95 BaCO3 + 0.025 Eu2O3 + 1 MgO + 2 SiO2 == 1 Ba1.95Eu0.05MgSi2O7 + 1.95 CO2 + 0.012 O2,2019,['calcined'],[[1250.0]],[[5.0]],,,1250.0,5.0,10.1016/j.jallcom.2019.02.322,True,2
"['TiO2', 'CaTiO3', 'CuO']",CaTi4(CuO4)3,1 CaTiO3 + 3 CuO + 3 TiO2 == 1 CaCu3Ti4O12,2011,"['calcined', 'calcined']","[[750.0], []]","[[3.0], []]",,,750.0,3.0,10.1007/s10854-010-0269-6,True,2
"['WO3', 'Bi2O3']",Bi14WO24,7 Bi2O3 + 1 WO3 == 1 Bi14WO24,2003,['heated'],[[749.85]],[[12.0]],850.0,10.0,,,10.1016/s0022-4596(03)00246-9,True,2
"['Se', 'P', 'Cu2Se']",Cu4P4Se3,2 Cu2Se + 4 P + 1 Se == 1 Cu4P4Se3,2016,"['heated', 'annealing']","[[1000.0], [600.0]]","[[], []]",,,600.0,,10.1021/acs.inorgchem.6b01161,True,1
"['Mn3O4', 'Co3O4', 'Fe2O3', 'ZnO']",Mn1.71Zn0.42Fe1.1Co2.77O8,0.923 Co3O4 + 0.55 Fe2O3 + 0.57 Mn3O4 + 0.42 ZnO == 1 Co2.77Mn1.71Fe1.10Zn0.42O8 + 0.022 O2,2020,"['calcinated', 'sintered']","[[850.0], [1150.0]]","[[2.0], [2.0]]",1150.0,2.0,850.0,2.0,10.1016/j.matchemphys.2019.122098,True,4
"['Ag2CO3', 'Na2CO3', 'MoO3']",NaAgMoO4,0.5 Ag2CO3 + 1 MoO3 + 0.5 Na2CO3 == 1 NaAgMoO4 + 1 CO2,2015,"['calcined', 'sintered']","[[350.0], [420.0, 350.0]]","[[4.0], [2.0]]",420.0,2.0,350.0,4.0,10.1038/srep05980,True,4
"['TiO2', 'Sc2O3']",Sc4Ti3O12,2 Sc2O3 + 3 TiO2 == 1 Sc4Ti3O12,2015,"['calcined', 'sintered']","[[1000.0], [1100.0]]","[[24.0], [24.0]]",1100.0,24.0,1000.0,24.0,10.1016/j.jnucmat.2015.01.057,True,4
"['MnCO3', 'Eu2O3', 'Y2O3']",Eu0.75Y0.25Mn1O3,0.375 Eu2O3 + 1 MnCO3 + 0.25 O2 + 0.125 Y2O3 == 1 Eu0.75Y0.25MnO3 + 1 CO2,2012,"['heated', 'heated', 'sintered']","[[1100.0], [1300.0], [1400.0]]","[[24.0], [24.0], []]",1400.0,,,,10.1016/j.jmmm.2012.03.054,True,1
